tipo,keyword
cristal_no_reciblable,cristal no reciblable
cristal_no_reciblable,vaso de vidrio
metal_y_chatarra,metal y chatarra
metal_y_chatarra,chatarra metalica
escombros_y_restos_de_obra,escombros y restos de obra
escombros_y_restos_de_obra,escombros de construccion
muebles_y_enseres,muebles y enseres
muebles_y_enseres,armario de madera compuesta
papel_y_carton,papel y carton
papel_y_carton,caja de carton
radiografias,radiografias
radiografias,placa radiografica
restos,restos
restos,juguete de madera
pinturas_disolventes_y_productos_quimicos,"pinturas, disolventes y productos quimicos"
pinturas_disolventes_y_productos_quimicos,latas de pintura
pilas_y_baterias,pilas y baterias
pilas_y_baterias,bateria de litio
raee_residuos_de_aparatos_electronicos,raee residuos de aparatos electronicos
raee_residuos_de_aparatos_electronicos,cargador de laptop
electrodomesticos,electrodomesticos
electrodomesticos,electrodomesticos grandes
juguetes_electronicos,juguetes electronicos
juguetes_electronicos,coche de juguete electronico
ropa_y_calzado,ropa y calzado
ropa_y_calzado,ropa y zapatos
medicamentos_y_envases,medicamentos y envases
medicamentos_y_envases,medicamentos y envases farmaceuticos
envases,envases
envases,envases de plastico
toner_y_cartuchos_de_impresora,toner y cartuchos de impresora
toner_y_cartuchos_de_impresora,cartucho de tinta de impresora
vidrio,vidrio
vidrio,frasco de vidrio ambar
bombillas_y_fluorescentes,bombillas y fluorescentes
bombillas_y_fluorescentes,bombillas y lamparas
restos_de_poda,restos de poda
restos_de_poda,ramas y troncos
organico,organico
organico,restos de hierbas secas
aceite_usado_de_cocina_o_motor,aceite usado de cocina o motor
aceite_usado_de_cocina_o_motor,aceite de cocina usado
