longitud,latitud,id_coop,id_cv,nombre,administra,barrio,comuna,codigo_po,codigo_p,direccion,calle_1,altura_1
-58.45249769,-34.62354366,6,7,Centro Verde Yerbal,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Caballito,6,1406,C1406GJK,Yerbal 1481,Yerbal,1481
-58.40659321,-34.64358277,5,5,Centro Verde Cortejarena,Cooperativa de Trabajo Amanecer de los Cartoneros,Parque Patricios,4,1437,C1437ISK,"Cortejarena, Jose A. 3151","Cortejarena, Jose A.",3151
-58.50843108,-34.57022595,1,1,Centro Verde Constituyentes,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,Villa Urquiza,12,1431,C1431FAA,De Los Constituyentes Av. 6259,De Los Constituyentes Av.,6259
-58.46203398,-34.53478254,4,4,Centro Verde Nuñez,Cooperativa de Trabajo Las Madreselvas,Nuñez,13,1429,C1429ELN,"Paz, Gral. Av. 98","Paz, Gral. Av.",98
-58.39666328,-34.57418907,2,2,Centro Verde Retiro,Cooperativa de Provisión de Servicios para Recolectores el Ceibo,Retiro,1,1104,C1104AIA,Padre Carlos Mugica 510,Padre Carlos Mugica,510
-58.44165504,-34.65329046,6,6,Centro Verde Varela,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Villa Soldati,8,1437,C1437BJE,Varela Av. 2505,Varela Av.,2505
-58.45170464,-34.66348563,10,11,Centro Verde De La Rosa,Cooperativa de Provisión de Servicios para Recolectores del Oeste,Villa Soldati,8,1439,C1439CIA,"De La Rosa, Jose I., Dr. 6245","De La Rosa, Jose I., Dr.",6245
-58.43982793,-34.65468205,11,12,Centro Verde Chilavert,Cooperativa de Trabajo Alelí,Villa Soldati,8,1437,C1437HCI,"Chilavert, Martiniano, Coronel 2745","Chilavert, Martiniano, Coronel",2745
-58.37400166,-34.65091654,5,14,Centro Verde Barracas,Cooperativa de Trabajo Amanecer de los Cartoneros,Barracas,4,1295,C1295ACP,Herrera 2124,Herrera,2124
-58.389465,-34.630628,3,3,Centro Verde Solís,Cooperativa de Trabajo Cartonera del Sur,Constitución,4,1134,C1134ADO,Solis 1919,Solis,1919
-58.427855,-34.652591,9,10,Centro Verde Corrales,Cooperativa de Trabajo Baires Cero,Pompeya,4,1437,C1437GLM,Corrales 1763,Corrales,1763
-58.491732,-34.550236,5,16,Centro Verde Saavedra,Cooperativa de Trabajo Amanecer de los Cartoneros,Saavedra,13,1430,C1430CSC,Arias 4383,Arias,4383
-58.440244,-34.663154,7,8,Centro Verde José Martí,Cooperativa de Trabajo Reciclando Trabajo y Dignidad,Villa Soldati,8,1437,C1437BYC,"Marti, Jose 3329","Marti, Jose",3329
-58.457814,-34.650675,12,13,Centro Verde Balbastro,Cooperativa de Trabajo Primavera,Villa Soldati,8,1406,C1406IDK,Balbastro 3209,Balbastro,3209
