wkt_geom,direccion,barrio,comuna,mas_info,materiales
Point (97581.01033980000647716 104252.04326000000583008),Navarro 2429,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (96779.55947720000403933 104049.26916199999686796),Argerich 3916,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97535.52913100000296254 104154.3394479999988107),"Artigas, Jose Gervasio, Gral. 3556",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97436.64213619999645744 104286.66985400000703521),"Artigas, Jose Gervasio, Gral. 3706",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97311.9105515999981435 104452.45583700000133831),"Artigas, Jose Gervasio, Gral. 3914",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97189.60737209999933839 104615.96236999999382533),"Artigas, Jose Gervasio, Gral. 4124",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97603.49623099999735132 104634.12421500000345986),Asuncion 2240,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (96682.37331369999446906 103954.98473100000410341),Asuncion 3097,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97093.26610009999421891 103758.32602700000279583),"Beiro, Francisco Av. 2963",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97763.24738400000205729 104297.60502299999643583),Caracas 3525,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97452.29423020000103861 104762.25148399999307003),"Carril, Salvador Maria Del Av. 2276",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97207.03584500000579283 104159.05353999999351799),Condarco 3750,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97094.58100689999992028 104316.37195699999574572),Condarco 3950,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97783.4518203000043286 103637.81920800000079907),"Cortazar, Julio 3664",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (96602.51802620000671595 103793.86096499999985099),Cuenca 3807,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97448.25281989999348298 104067.01617400000395719),Estado Plurinacional De Bolivia 3541,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97295.18126319999282714 104271.95649900000717025),Estado Plurinacional De Bolivia 3795,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
