tipo,nombre,direccion,lat,lon,materiales,horario
Contenedor Verde,15 DE NOVIEMBRE DE 1889 1243,15 DE NOVIEMBRE DE 1889 1243,-34.63089854809411,-58.38358349970781,,
Contenedor Verde,15 DE NOVIEMBRE DE 1889 1431,15 DE NOVIEMBRE DE 1889 1431,-34.631218553436625,-58.38617338817246,,
Contenedor Verde,8 DE MARZO 1725,8 DE MARZO 1725,-34.61691870717343,-58.35075498418356,,
Contenedor Verde,"ALSINA, ADOLFO 202","ALSINA, ADOLFO 202",-34.61001895726441,-58.36977423120023,,
Contenedor Verde,"ALSINA, ADOLFO 632","ALSINA, ADOLFO 632",-34.6102689789126,-58.37538399284586,,
Contenedor Verde,ALVEAR 1418,ALVEAR 1418,-34.59071946886468,-58.38442375115875,,
Contenedor Verde,"ALVEAR, MARCELO T. DE 1355","ALVEAR, MARCELO T. DE 1355",-34.596919337410306,-58.386453621346035,,
Contenedor Verde,ARENALES 938,ARENALES 938,-34.594129371511464,-58.38040389630696,,
Contenedor Verde,ARENALES 1110,ARENALES 1110,-34.59436937955041,-58.38317377781832,,
Contenedor Verde,AZOPARDO 1168,AZOPARDO 1168,-34.621068691114516,-58.366904273438266,,
Contenedor Verde,AZOPARDO 1324,AZOPARDO 1324,-34.622918645621475,-58.366234288502696,,
Contenedor Verde,BELGRANO AV. 130,BELGRANO AV. 130,-34.61221890390058,-58.369124242924265,,
Contenedor Verde,BELGRANO AV. 1280,BELGRANO AV. 1280,-34.6134089518662,-58.38452358500666,,
Contenedor Verde,BELGRANO AV. 1384,BELGRANO AV. 1384,-34.6134889562892,-58.385803530458496,,
Contenedor Verde,BELGRANO AV. 1450,BELGRANO AV. 1450,-34.61357895858072,-58.38669349228504,,
Contenedor Verde,BRASIL 956,BRASIL 956,-34.62724860437874,-58.37804375946217,,
Contenedor Verde,BRASIL 1274,BRASIL 1274,-34.628088612928956,-58.38372351388301,,
Contenedor Verde,BRASIL 1700,BRASIL 1700,-34.62906861732089,-58.38920327573815,,
Contenedor Verde,"CALVO, CARLOS 307","CALVO, CARLOS 307",-34.61934874665406,-58.3702441448368,,
Contenedor Verde,"CALVO, CARLOS 735","CALVO, CARLOS 735",-34.61968876898575,-58.37641388218802,,
Contenedor Verde,"CALVO, CARLOS 953","CALVO, CARLOS 953",-34.619698783297174,-58.37939375643591,,
Contenedor Verde,"CALVO, CARLOS 1485","CALVO, CARLOS 1485",-34.619728819564635,-58.386963436966035,,
Contenedor Verde,CASEROS AV. 405,CASEROS AV. 405,-34.62651858718684,-58.37110405740276,,
Contenedor Verde,CASEROS AV. 545,CASEROS AV. 545,-34.62663859361682,-58.37298397724743,,
Contenedor Verde,CASEROS AV. 970,CASEROS AV. 970,-34.62852857208318,-58.37741377689424,,
Contenedor Verde,CERRITO 1020,CERRITO 1020,-34.5964993289343,-58.38275378033026,,
Contenedor Verde,"CEVALLOS, VIRREY 987","CEVALLOS, VIRREY 987",-34.619858825827656,-58.38885335633017,,
Contenedor Verde,"CEVALLOS, VIRREY 1487","CEVALLOS, VIRREY 1487",-34.62590868549856,-58.38839333249184,,
Contenedor Verde,CHACABUCO 831,CHACABUCO 831,-34.617748810918165,-58.37593391627837,,
Contenedor Verde,CHILE 296,CHILE 296,-34.61588882488495,-58.370094175843896,,
Contenedor Verde,CHILE 440,CHILE 440,-34.61611882972896,-58.37216408690389,,
Contenedor Verde,CHILE 860,CHILE 860,-34.616348853793895,-58.37817383180281,,
Contenedor Verde,CHILE 1490,CHILE 1490,-34.616738889456244,-58.387303443988976,,
Contenedor Verde,COCHABAMBA 395,COCHABAMBA 395,-34.62301866708219,-58.37110408237991,,
Contenedor Verde,COCHABAMBA 651,COCHABAMBA 651,-34.623258679894064,-58.37485392250012,,
Contenedor Verde,COCHABAMBA 890,COCHABAMBA 890,-34.623798684498276,-58.378323772289136,,
Contenedor Verde,COCHABAMBA 1227,COCHABAMBA 1227,-34.623978705428726,-58.3834535546361,,
Contenedor Verde,COCHABAMBA 1456,COCHABAMBA 1456,-34.623978719393136,-58.3863134340121,,
Contenedor Verde,COCHABAMBA 1654,COCHABAMBA 1654,-34.624108730540506,-58.389203311195125,,
Contenedor Verde,CONSTITUCION 1776,CONSTITUCION 1776,-34.62509871566222,-58.390783237480626,,
Contenedor Verde,CORDOBA AV. 1367,CORDOBA AV. 1367,-34.59926928304176,-58.3862936113203,,
Contenedor Verde,CORRIENTES AV. 1250,CORRIENTES AV. 1250,-34.60384917043919,-58.38462364904138,,
Contenedor Verde,"DEGLIOUMINI, DELIA 825","DEGLIOUMINI, DELIA 825",-34.6184286954918,-58.35543477603618,,
Contenedor Verde,DEL LIBERTADOR AV. 450,DEL LIBERTADOR AV. 450,-34.58952947497194,-58.38011394133294,,
Contenedor Verde,"ECHAGUE, PEDRO 1308","ECHAGUE, PEDRO 1308",-34.62988857510805,-58.384393472759655,,
Contenedor Verde,"ECHAGUE, PEDRO 1700","ECHAGUE, PEDRO 1700",-34.6302885921564,-58.38975324381683,,
Contenedor Verde,ENTRE RIOS AV. 2079,ENTRE RIOS AV. 2079,-34.6323585495881,-58.39071318852165,,
Contenedor Verde,ESMERALDA 1375,ESMERALDA 1375,-34.591699415748266,-58.37811401017389,,
Contenedor Verde,ESTADOS UNIDOS 614,ESTADOS UNIDOS 614,-34.61856878722938,-58.37491395344393,,
Contenedor Verde,ESTADOS UNIDOS 888,ESTADOS UNIDOS 888,-34.61857880446588,-58.37849380238878,,
Contenedor Verde,ESTADOS UNIDOS 1462,ESTADOS UNIDOS 1462,-34.618888837611024,-58.386733452667166,,
Contenedor Verde,ESTADOS UNIDOS 1630,ESTADOS UNIDOS 1630,-34.619148844423506,-58.389343340739266,,
Contenedor Verde,"GARAY, JUAN DE AV. 319","GARAY, JUAN DE AV. 319",-34.62403863867925,-58.37005411938911,,
Contenedor Verde,"GARAY, JUAN DE AV. 435","GARAY, JUAN DE AV. 435",-34.62420864484455,-58.37211403128761,,
Contenedor Verde,"GARAY, JUAN DE AV. 635","GARAY, JUAN DE AV. 635",-34.62455864929329,-58.374663921234074,,
Contenedor Verde,"GARAY, JUAN DE AV. 741","GARAY, JUAN DE AV. 741",-34.62487864989212,-58.37628385062054,,
Contenedor Verde,"GARAY, JUAN DE AV. 1323","GARAY, JUAN DE AV. 1323",-34.62692864434097,-58.38473347957165,,
Contenedor Verde,"GARAY, JUAN DE AV. 1445","GARAY, JUAN DE AV. 1445",-34.62706865032591,-58.38661339927648,,
Contenedor Verde,"GARAY, JUAN DE AV. 1664","GARAY, JUAN DE AV. 1664",-34.62724865740208,-58.38890330140283,,
Contenedor Verde,"GARCIA, MARTIN AV. 373","GARCIA, MARTIN AV. 373",-34.62929852123249,-58.3705940590736,,
Contenedor Verde,HUMBERTO 1° 755,HUMBERTO 1° 755,-34.62081874314715,-58.376403874543676,,
Contenedor Verde,HUMBERTO 1° 843,HUMBERTO 1° 843,-34.62078875134531,-58.377943809807455,,
Contenedor Verde,HUMBERTO 1° 1345,HUMBERTO 1° 1345,-34.62087878345663,-58.384943513940904,,
Contenedor Verde,INDEPENDENCIA AV. 1175,INDEPENDENCIA AV. 1175,-34.61763884641347,-58.38269363197285,,
Contenedor Verde,INDEPENDENCIA AV. 1327,INDEPENDENCIA AV. 1327,-34.61770885462763,-58.38470354670641,,
Contenedor Verde,INDEPENDENCIA AV. 1457,INDEPENDENCIA AV. 1457,-34.617878861489345,-58.38690345271346,,
Contenedor Verde,"IRIGOYEN, BERNARDO DE 220","IRIGOYEN, BERNARDO DE 220",-34.610958988292076,-58.38053377075235,,
Contenedor Verde,"IRIGOYEN, BERNARDO DE 826","IRIGOYEN, BERNARDO DE 826",-34.61811882325872,-58.38019373397771,,
Contenedor Verde,"IRIGOYEN, BERNARDO DE 1370","IRIGOYEN, BERNARDO DE 1370",-34.624478674832844,-58.37952371682029,,
Contenedor Verde,"IRIGOYEN, BERNARDO DE 1569","IRIGOYEN, BERNARDO DE 1569",-34.627058611205,-58.37855373930758,,
Contenedor Verde,"IRIGOYEN, BERNARDO DE 1616","IRIGOYEN, BERNARDO DE 1616",-34.62764859671135,-58.378343743951554,,
Contenedor Verde,LAVALLE 1713,LAVALLE 1713,-34.60300922288941,-58.39144336749066,,
Contenedor Verde,LIBERTAD 869,LIBERTAD 869,-34.598449290566606,-58.3840037137185,,
Contenedor Verde,MAIPU 308,MAIPU 308,-34.6044791178229,-58.376783975114094,,
Contenedor Verde,MEXICO 220,MEXICO 220,-34.61482884858621,-58.369994187621515,,
Contenedor Verde,MEXICO 1314,MEXICO 1314,-34.61548890518775,-58.38468356340544,,
Contenedor Verde,"MITRE, BARTOLOME 1586","MITRE, BARTOLOME 1586",-34.60778910160745,-58.3889334391832,,
Contenedor Verde,"MITRE, BARTOLOME 1620","MITRE, BARTOLOME 1620",-34.607869102516815,-58.38949341499941,,
Contenedor Verde,MONTEVIDEO 490,MONTEVIDEO 490,-34.603319206884144,-58.38961344243308,,
Contenedor Verde,MORENO 747,MORENO 747,-34.61156895666626,-58.37690391947327,,
Contenedor Verde,MORENO 1269,MORENO 1269,-34.6120789812836,-58.38433360251582,,
Contenedor Verde,MORENO 1465,MORENO 1465,-34.612338989850116,-58.38730347541862,,
Contenedor Verde,PARAGUAY 344,PARAGUAY 344,-34.59727926092342,-58.372454209018116,,
Contenedor Verde,PARAGUAY 418,PARAGUAY 418,-34.59739926301233,-58.373444166423084,,
